City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
325,petropavlovsk-kamchatskiy,86,RU,1573146887,92,53.05,158.65,26.6,6.71
326,tevaitoa,37,PF,1573146888,78,-16.78,-151.5,80.26,19.26
327,cidreira,100,BR,1573146888,89,-30.17,-50.22,68.07,14.43
328,najran,4,SA,1573146888,28,17.54,44.22,73.4,4.7
329,kyaikkami,20,MM,1573146888,76,16.08,97.57,82.56,10.42
330,zhigansk,62,RU,1573146889,95,66.77,123.37,-19.56,6.96
331,karratha,22,AU,1573146889,60,-20.74,116.85,79.23,11.07
332,skjervoy,15,NO,1573146889,78,70.03,20.97,28.4,19.46
333,maragogi,99,BR,1573146889,71,-9.01,-35.22,79.57,11.65
334,honiara,40,SB,1573146889,100,-9.43,159.96,75.2,2.24
335,zhangzhou,29,CN,1573146889,64,24.51,117.65,69.8,11.18
336,brae,20,GB,1573146890,86,60.4,-1.35,37.4,18.34
337,gawler,75,AU,1573146890,87,-34.6,138.75,59.0,24.16
338,vanavara,100,RU,1573146890,95,60.35,102.28,21.09,7.11
339,hasaki,40,JP,1573146890,93,35.73,140.83,50.0,6.93
340,aklavik,75,CA,1573146890,78,68.22,-135.01,14.0,5.82
341,ancud,47,CL,1573146891,62,-41.87,-73.83,51.49,13.56
342,lata,100,IN,1573146891,99,30.78,78.62,26.01,10.31
343,chernyshevskiy,26,RU,1573146891,98,63.01,112.47,-8.14,2.39
344,northam,78,AU,1573146891,37,-31.65,116.67,69.8,14.99
345,saldanha,87,PT,1573146891,81,41.42,-6.55,41.43,10.33
346,begoro,6,GH,1573146891,78,6.38,-0.38,77.74,2.46
347,merauke,100,ID,1573146892,82,-8.49,140.4,76.55,6.62
348,sao felix do xingu,44,BR,1573146892,34,-6.64,-51.99,96.8,4.43
349,xining,27,CN,1573146626,78,36.62,101.77,32.86,1.43
350,pedernales,86,EC,1573146892,75,0.07,-80.05,78.06,8.48
351,esperance,90,AU,1573146892,93,-33.86,121.89,53.6,4.7
352,sadovoye,97,RU,1573146893,51,47.78,44.52,57.6,9.22
353,agaro,100,ET,1573146893,94,7.86,36.59,58.05,3.91
354,kavaratti,0,IN,1573146893,78,10.57,72.64,81.14,10.49
355,espirito santo do pinhal,75,BR,1573146893,65,-22.12,-46.68,84.2,2.55
356,pomabamba,99,PE,1573146894,60,-8.82,-77.46,53.71,8.32
357,okhotsk,100,RU,1573146894,94,59.36,143.24,25.52,20.56
358,itaituba,20,BR,1573146894,50,-4.26,-55.99,95.0,3.36
359,kathmandu,75,NP,1573146622,88,27.71,85.32,62.6,2.24
360,yar-sale,89,RU,1573146892,92,66.83,70.83,1.54,15.46
361,black river,20,JM,1573146894,70,18.03,-77.85,87.8,16.11
362,superior,90,US,1573146895,51,39.95,-105.17,42.01,2.28
363,tateyama,100,JP,1573146895,71,36.66,137.31,53.01,1.99
364,paamiut,100,GL,1573146856,46,61.99,-49.67,41.83,15.84
